,Name,Rating,Position,Version,Price,Skills,Weak_Foot,Attack\Defense,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Height,Popularity,Base_Stats,Game_Stats,Agility,Balance,Marking,Positioning,Sprint_Speed,Vision,Finishing
1761,Manuel Fernandes,80,CAM,Normal,900,4,4,M \ L,79,76,79,82,66,71,"176cm | 5'9""",3,453,2161,82,76,62,CAM,76,79,71
1762,Salomon Kalou,80,LM,Normal,700,4,3,M \ L,68,78,73,84,33,62,"184cm | 6'0""",0,398,1957,77,78,22,LM,67,75,83
1763,Vedad Ibišević,80,ST,Normal,700,3,4,M \ L,53,80,68,73,31,76,"188cm | 6'2""",2,381,1898,65,59,20,ST,53,73,85
1764,Tom Heaton,80,GK,Normal,700,1,3,M \ M,80,79,76,83,56,79,"188cm | 6'2""",5,453,926,54,52,15,GK,53,46,12
1765,Theo Walcott,80,RM,Normal,2.4K,3,3,M \ M,91,75,72,80,38,66,"176cm | 5'9""",5,422,2009,83,79,33,RM,91,72,77
1766,Dušan Basta,80,RB,Normal,800,2,3,H \ H,76,67,71,76,80,76,"183cm | 6'0""",4,446,2118,70,68,78,RB,76,56,58
1767,Vitaliy Denisov,80,LB,Normal,900,2,3,H \ H,83,51,67,71,79,79,"178cm | 5'10""",3,430,2001,69,70,76,LB,80,63,40
1768,Erik Lamela,80,RM,Normal,1.3K,4,2,H \ H,76,77,79,82,45,67,"181cm | 5'11""",5,426,2065,77,70,37,RM,74,80,73
1769,Jonathan dos Santos,80,CM,Normal,750,3,4,H \ H,66,68,82,80,59,67,"172cm | 5'8""",3,422,2062,74,81,52,CM,65,83,62
1770,Andrés Guardado,80,CM,Normal,700,3,2,M \ M,76,64,80,82,67,68,"169cm | 5'7""",6,437,2126,82,88,60,CM,76,81,58
1771,Daniel Wass,80,CM,Normal,3.4K,3,3,M \ M,75,73,80,79,66,71,"181cm | 5'11""",3,444,2122,78,59,59,CM,76,80,69
1772,Antonio Candreva,80,RM,Normal,1.3K,3,4,M \ M,78,80,76,79,56,71,"180cm | 5'11""",1,440,2087,74,76,54,RM,78,74,74
1773,Kevin-Prince Boateng,80,ST,Normal,3.8K,4,4,M \ M,73,77,77,79,67,80,"186cm | 6'1""",3,453,2175,76,58,59,ST,73,76,75
1774,Pedro León,80,RM,Normal,700,3,3,H \ L,67,76,83,81,40,62,"183cm | 6'0""",5,409,1964,68,73,34,RM,69,82,74
1775,Valter Birsa,80,CAM,Normal,700,3,3,M \ M,75,72,80,82,49,72,"184cm | 6'0""",3,430,2059,68,68,44,CAM,78,82,62
1776,Ignacio Piatti,80,LW,Normal,700,5,4,H \ M,76,80,73,85,49,73,"180cm | 5'11""",7,436,2051,87,79,53,LW,75,76,80
1777,André Ayew,80,RM,Normal,700,3,3,H \ M,75,74,75,81,60,77,"176cm | 5'9""",-2,442,2135,86,81,54,RM,75,76,75
1778,Sven Bender,80,CB,Normal,950,2,4,M \ H,70,51,61,61,82,80,"185cm | 6'1""",5,405,1890,63,61,80,CB,72,65,39
1779,Nacho Monreal,80,LB,Normal,850,2,3,H \ H,73,53,72,75,80,72,"179cm | 5'10""",1,425,2055,73,74,80,LB,72,66,39
1780,Kiko Casilla,80,GK,Normal,800,1,2,M \ M,75,83,80,77,32,82,"191cm | 6'3""",-6,429,935,43,58,12,GK,49,52,14
1781,Eder Citadin Martins,80,ST,Normal,4.5K,3,4,H \ M,85,80,73,83,25,63,"179cm | 5'10""",16,409,1967,81,80,18,ST,84,78,81
1782,Jeremain Lens,80,RM,Normal,850,4,4,H \ M,89,76,76,81,32,71,"178cm | 5'10""",2,425,2003,75,81,22,RM,90,77,75
1783,Diego Perotti,80,CF,Normal,750,4,5,M \ H,81,71,78,85,32,59,"179cm | 5'10""",14,406,1961,80,79,24,CF,78,84,66
1784,Ibrahima Traoré,80,RM,Normal,700,4,2,H \ H,88,72,77,84,39,56,"171cm | 5'7""",2,416,2028,94,93,32,RM,85,76,66
1785,Matteo Darmian,80,LB,Normal,1K,3,5,L \ H,77,58,68,76,80,73,"182cm | 6'0""",9,432,2042,80,78,81,LB,77,63,55
1786,Luiz Gustavo,80,CDM,Normal,1.4K,2,3,M \ H,64,59,68,70,80,80,"187cm | 6'2""",3,421,1995,65,62,74,CDM,64,68,46
1787,Danny Welbeck,80,ST,Normal,1K,3,3,H \ H,84,74,71,78,37,78,"185cm | 6'1""",15,422,1995,82,63,28,ST,84,72,75
1788,Igor Smolnikov,80,RB,Normal,750,2,3,H \ M,87,61,75,73,76,74,"178cm | 5'10""",11,446,2079,80,76,79,RB,90,75,61
1789,Fedor Smolov,80,ST,Normal,850,3,4,H \ M,87,80,70,76,32,73,"187cm | 6'2""",20,418,1964,75,66,26,ST,85,75,82
1790,Marcel Schmelzer,80,LB,Normal,1K,2,2,H \ H,80,51,69,67,79,79,"181cm | 5'11""",14,425,2016,66,63,79,LB,84,52,37
1791,Salomón Rondón,80,ST,Normal,1.2K,3,4,H \ M,75,76,56,74,31,80,"186cm | 6'1""",11,392,1816,69,48,25,ST,76,53,77
1792,Iago Falqué,80,RW,Normal,700,4,3,M \ H,79,72,78,84,35,57,"174cm | 5'9""",6,405,1952,85,86,35,RW,79,78,75
1793,Michail Antonio,80,ST,Normal,950,4,4,H \ H,85,74,70,80,52,82,"180cm | 5'11""",88,443,2087,86,76,44,ST,87,65,74
1794,Stephan El Shaarawy,80,LW,Normal,2.9K,5,2,H \ M,87,75,70,84,31,58,"178cm | 5'10""",5,405,1926,85,82,25,LW,87,73,75
1795,Daley Blind,80,LB,Normal,2.1K,2,4,M \ M,60,56,79,76,80,76,"180cm | 5'11""",-3,427,2103,72,75,80,LB,58,78,46
1796,Eduardo Salvio,80,RM,Normal,750,4,4,H \ L,87,74,74,80,44,70,"173cm | 5'8""",3,429,2057,86,84,40,RM,86,73,76
1797,Fabián Orellana,80,CAM,Normal,1.7K,4,4,H \ M,80,73,76,83,32,50,"171cm | 5'7""",0,394,1929,85,66,18,CAM,78,77,75
1798,Kevin Vogt,80,CB,Normal,1.1K,2,3,M \ M,76,57,69,67,79,80,"194cm | 6'4""",17,428,1976,59,49,76,CB,85,67,50
1799,Roberto Pereyra,80,CM,Normal,800,4,4,H \ H,78,66,80,81,68,68,"182cm | 6'0""",14,441,2130,79,75,64,CM,78,81,61
1800,Maxime Gonalons,80,CDM,Normal,750,2,4,L \ H,66,61,69,70,80,81,"187cm | 6'2""",2,427,2047,63,65,78,CDM,66,65,55
1801,André Schürrle,80,LM,Normal,1.5K,3,4,H \ H,83,82,74,79,38,70,"184cm | 6'0""",4,426,2061,77,76,23,LM,83,76,80
1802,Roberto Soriano,80,LM,Normal,1K,3,4,M \ M,77,77,80,80,63,73,"182cm | 6'0""",2,450,2136,83,72,48,LM,77,84,76
1803,Daniel Didavi,80,CAM,Normal,1.8K,3,3,M \ M,77,81,76,80,52,72,"180cm | 5'11""",4,438,2096,74,73,45,CAM,78,70,79
1804,Neto,80,GK,Normal,900,1,2,M \ M,84,80,74,83,53,74,"192cm | 6'4""",6,448,932,59,49,19,GK,49,40,15
1805,Sergi Enrich,80,ST,Normal,700,3,4,H \ H,66,77,69,75,42,79,"181cm | 5'11""",4,408,1939,68,66,29,ST,68,72,83
1806,Yaroslav Rakitskyi,80,CB,Normal,750,2,3,H \ M,72,68,76,73,81,78,"180cm | 5'11""",0,448,2140,72,73,82,CB,74,75,57
1807,Oğuzhan Özyakup,80,CM,Normal,700,4,4,M \ M,75,74,83,81,59,69,"180cm | 5'11""",3,441,2155,88,83,54,CM,75,86,68
1808,Josuha Guilavogui,80,CDM,Normal,900,2,3,M \ H,70,59,66,68,81,81,"188cm | 6'2""",8,425,1980,54,50,76,CDM,73,65,49
1809,Alex Oxlade-Chamberlain,80,RM,Normal,850,4,4,H \ M,88,70,74,83,52,70,"175cm | 5'9""",11,437,2028,84,88,52,RM,88,72,68
1810,Pablo Sarabia,80,RM,Normal,750,4,4,H \ M,76,73,80,83,30,53,"174cm | 5'9""",2,395,1874,81,81,26,RM,77,81,73
1811,Luis Muriel,80,ST,Normal,1.4K,4,4,H \ L,89,77,68,84,24,72,"179cm | 5'10""",24,414,1922,86,77,18,ST,90,73,80
1812,Dušan Tadić,80,CAM,Normal,1.6K,4,2,M \ M,70,67,80,83,37,64,"181cm | 5'11""",4,401,1977,81,80,40,CAM,70,84,65
1813,Allan,80,CM,Normal,1.5K,3,3,M \ H,77,64,75,78,79,81,"175cm | 5'9""",18,454,2138,79,82,76,CM,76,79,62
1814,Kevin Volland,80,ST,Normal,1.1K,3,3,H \ H,77,81,78,79,39,82,"179cm | 5'10""",11,436,2102,73,84,17,ST,77,81,80
1815,Josip Iličić,80,CF,Normal,700,4,3,M \ M,70,82,80,81,35,64,"190cm | 6'3""",2,412,1972,70,56,26,CF,72,82,78
1816,Memphis Depay,80,LW,Normal,3.9K,4,3,H \ L,89,77,72,83,30,77,"176cm | 5'9""",23,428,2021,82,83,24,LW,88,73,72
1817,Simone Zaza,80,ST,Normal,2.4K,3,3,H \ H,76,79,59,76,42,84,"186cm | 6'1""",2,416,2001,77,69,28,ST,77,66,79
1818,Valère Germain,80,ST,Normal,800,3,4,H \ M,78,80,75,79,31,68,"180cm | 5'11""",7,411,2034,91,77,22,ST,78,78,82
1819,Thorgan Hazard,80,RF,Normal,3.4K,4,3,H \ M,81,78,80,84,37,64,"174cm | 5'9""",8,424,2052,91,81,28,RF,77,81,79
1820,Loris Karius,80,GK,Normal,1.2K,1,3,M \ M,84,74,74,85,51,76,"189cm | 6'2""",-5,444,844,51,43,13,GK,50,45,18
1821,John Brooks,80,CB,Normal,800,2,3,M \ M,74,39,57,64,81,77,"193cm | 6'4""",14,392,1771,60,51,79,CB,78,57,39
1822,Michy Batshuayi,80,ST,Normal,2.4K,3,4,M \ L,79,80,59,77,27,74,"185cm | 6'1""",11,396,1876,78,78,16,ST,80,63,83
1823,Denis Suárez,80,CM,Normal,950,3,3,M \ M,79,74,81,83,51,58,"176cm | 5'9""",9,426,2027,83,76,40,CM,79,81,75
1824,Matija Nastasić,80,CB,Normal,850,2,3,L \ H,70,31,58,52,82,75,"188cm | 6'2""",2,368,1742,64,58,81,CB,74,55,27
1825,Leo Baptistao,80,ST,Normal,750,3,3,M \ M,79,77,69,79,28,64,"181cm | 5'11""",9,396,1882,78,67,17,ST,80,69,79
1826,Oleg Shatov,80,LM,Normal,5.5K,4,4,H \ M,88,73,77,81,47,68,"173cm | 5'8""",2,434,2047,83,78,38,LM,90,81,73
1827,Taras Stepanenko,80,CDM,Normal,700,2,3,M \ H,67,61,71,70,79,80,"181cm | 5'11""",2,428,2027,60,73,80,CDM,64,69,53
1828,Sead Kolašinac,80,LB,Normal,1.2K,2,2,M \ H,78,53,61,64,78,89,"183cm | 6'0""",35,423,1902,52,55,78,LB,82,56,42
1829,Jonas Hector,80,CDM,Normal,700,2,3,M \ M,77,60,76,76,79,77,"185cm | 6'1""",15,445,2090,67,67,77,CDM,77,70,55
1830,Fred,80,CM,Normal,1.5K,3,4,H \ H,82,70,76,82,71,63,"169cm | 5'7""",9,444,2138,84,87,75,CM,84,76,71
1831,Grimaldo,80,LB,Normal,850,3,2,H \ M,86,60,72,81,75,72,"171cm | 5'7""",13,446,2119,82,81,74,LB,86,60,50
1832,Ricardo Pereira,80,RB,Normal,4.2K,3,4,H \ H,88,62,77,81,77,70,"175cm | 5'9""",12,455,2136,84,78,78,RB,88,75,60
1833,Piotr Zieliński,80,CM,Normal,1.7K,4,5,M \ M,83,69,79,82,62,60,"180cm | 5'11""",18,435,2061,77,76,48,CM,83,82,64
1834,Samu Castillejo,80,RM,Normal,750,4,2,M \ H,86,67,79,81,37,48,"182cm | 6'0""",4,398,1900,84,78,22,RM,86,80,69
1835,Daniele Rugani,80,CB,Normal,850,2,3,L \ M,61,39,53,64,83,75,"190cm | 6'3""",-1,375,1731,59,53,84,CB,66,50,33
1836,Julian Brandt,80,LM,Normal,850,4,4,M \ M,82,73,76,83,26,61,"183cm | 6'0""",7,401,1853,81,75,25,LM,83,83,74
1837,Alex Telles,80,LB,Normal,2.8K,3,2,H \ M,83,61,77,78,75,74,"181cm | 5'11""",4,448,2173,78,70,75,LB,84,67,50
1838,Youri Tielemans,80,CM,Normal,800,3,5,M \ M,53,79,80,77,68,71,"176cm | 5'9""",18,428,2130,67,76,64,CM,53,83,73
1839,Sergej Milinković-Savić,80,CM,Normal,1.5K,4,4,H \ M,71,71,73,79,73,83,"191cm | 6'3""",7,450,2122,66,59,67,CM,73,77,69
1840,Fabián Orellana,80,CAM,Normal,700,4,4,H \ M,80,73,76,83,32,50,"171cm | 5'7""",3,394,1929,85,66,18,CAM,78,77,75
1841,Theo Walcott,80,RM,Normal,900,3,3,M \ M,91,75,72,80,38,66,"176cm | 5'9""",4,422,2009,83,79,33,RM,91,72,77
1842,Michy Batshuayi,80,ST,Normal,4.3K,3,4,M \ L,79,80,59,77,27,74,"185cm | 6'1""",18,396,1876,78,78,16,ST,80,63,83
1843,André Ayew,80,CAM,Normal,5.9K,3,3,H \ M,75,74,75,81,60,77,"176cm | 5'9""",3,442,2135,86,81,54,CAM,75,76,75
1844,John Stones,80,CB,Normal,1.3K,2,4,H \ M,71,35,70,71,81,78,"188cm | 6'2""",5,406,1853,64,57,81,CB,71,61,29
1845,Jesse Lingard,80,CAM,Normal,1K,3,3,H \ H,83,78,75,82,50,68,"175cm | 5'9""",12,436,2073,87,86,52,CAM,83,77,75
1846,Salvatore Sirigu,80,GK,Normal,700,1,2,M \ M,81,76,73,81,50,79,"192cm | 6'4""",3,440,861,52,55,16,GK,51,46,10
1847,Faouzi Ghoulam,80,LB,Normal,800,2,4,H \ M,80,64,73,76,76,78,"188cm | 6'2""",0,447,2115,70,64,74,LB,84,59,54
1848,Luis Alberto,80,CF,Normal,750,4,4,H \ L,76,76,83,83,27,61,"183cm | 6'0""",5,406,1868,72,54,24,CF,72,79,78
1849,Milan Škriniar,80,CB,Normal,800,2,4,M \ H,66,43,56,57,83,78,"188cm | 6'2""",8,383,1796,41,53,83,CB,66,43,41
1850,Charles Aránguiz,80,CM,Normal,700,3,4,M \ M,75,71,80,79,61,72,"171cm | 5'7""",3,438,2121,83,87,57,CM,73,80,64
1851,Šime Vrsaljko,80,RB,Normal,2K,2,3,H \ M,83,55,73,74,78,78,"183cm | 6'0""",3,441,2070,68,74,77,RB,83,68,44
1852,Geoffrey Kondogbia,80,CDM,Normal,1.2K,3,2,H \ M,74,72,73,78,78,84,"188cm | 6'2""",25,459,2138,76,52,73,CDM,74,74,57
1853,Alexandr Kokorin,80,ST,Normal,700,3,3,H \ M,84,78,72,81,44,72,"181cm | 5'11""",0,431,2052,84,73,43,ST,83,72,80
1854,Rodrigo,80,ST,Normal,1.6K,4,3,H \ M,91,77,71,79,38,71,"181cm | 5'11""",7,427,2020,82,68,30,ST,92,66,75
1855,Vincent Aboubakar,80,ST,Normal,700,5,3,H \ M,80,79,71,79,27,82,"184cm | 6'0""",0,418,1983,75,63,12,ST,83,74,77
1856,Oleg Shatov,80,LM,Normal,750,4,4,H \ M,88,73,77,81,47,68,"173cm | 5'8""",3,434,2047,83,78,38,LM,90,81,73
1857,Yerry Mina,80,CB,Normal,3.1K,2,2,M \ H,60,54,57,58,81,86,"195cm | 6'5""",30,396,1800,54,38,81,CB,66,54,51
1858,Ricardo Pereira,80,RB,Normal,700,3,4,H \ H,88,62,77,81,77,70,"175cm | 5'9""",11,455,2136,84,78,78,RB,88,75,60
1859,Fred,80,CM,Normal,1K,3,4,H \ H,82,70,76,82,71,63,"169cm | 5'7""",21,444,2138,84,87,75,CM,84,76,71
1860,Dušan Tadić,80,CAM,Normal,700,4,2,M \ M,70,67,80,83,37,64,"181cm | 5'11""",9,401,1977,81,80,40,CAM,70,84,65
1861,Kevin-Prince Boateng,80,CM,Normal,2.5K,4,4,M \ M,73,77,77,79,67,80,"186cm | 6'1""",3,453,2175,76,58,59,CM,73,76,75
1862,Daniel Didavi,80,CAM,Normal,1.2K,3,3,M \ M,77,81,76,80,52,72,"180cm | 5'11""",2,438,2096,74,73,45,CAM,78,70,79
1863,Daley Blind,80,CB,Normal,950,2,4,M \ M,60,56,79,76,80,76,"180cm | 5'11""",7,427,2103,72,75,80,CB,58,78,46
1864,André Ayew,80,ST,Normal,750,3,3,H \ M,75,74,75,81,60,77,"176cm | 5'9""",3,442,2135,86,81,54,ST,75,76,75
1865,André Schürrle,80,LM,Normal,700,3,4,H \ H,83,82,74,79,38,70,"184cm | 6'0""",1,426,2061,77,76,23,LM,83,76,80
1866,Šime Vrsaljko,80,RB,Normal,1K,2,3,H \ M,83,55,73,74,78,78,"183cm | 6'0""",2,441,2071,68,74,78,RB,83,68,44
1867,Salomón Rondón,80,ST,Normal,700,3,4,H \ M,75,76,56,74,31,80,"186cm | 6'1""",2,392,1816,69,48,25,ST,76,53,77
1868,Yerry Mina,80,CB,Normal,3K,2,2,M \ H,60,54,57,58,81,86,"195cm | 6'5""",6,396,-,,,,CB,,,
1869,Michy Batshuayi,80,ST,Normal,2.3K,3,4,M \ L,79,80,59,77,27,74,"185cm | 6'1""",9,396,1876,78,78,16,ST,80,63,83
1870,Andrea Pirlo,79,CM,Normal,16.25K,2,4,L \ L,33,64,89,76,46,50,"177cm | 5'10""",18,358,1847,44,64,40,CM,30,88,58
1871,René Adler,79,GK,Normal,700,1,3,M \ M,78,77,70,80,46,80,"191cm | 6'3""",0,431,831,49,43,12,GK,37,38,14
1872,Guillermo Ochoa,79,GK,Normal,700,1,3,M \ M,76,69,78,87,47,78,"185cm | 6'1""",14,435,875,65,42,11,GK,50,48,12
1873,Pablo Zabaleta,79,RB,Normal,1.1K,3,3,H \ H,61,56,70,74,81,78,"178cm | 5'10""",3,420,2058,69,66,78,RB,61,66,49
1874,Alexandr Samedov,79,RM,Normal,900,3,3,H \ M,80,74,79,76,50,72,"177cm | 5'10""",0,431,2070,78,73,52,RM,80,80,74
1875,Yoann Gourcuff,79,CAM,Normal,1.4K,4,4,M \ M,65,71,80,81,54,72,"185cm | 6'1""",4,423,2069,77,68,48,CAM,66,83,66
1876,Michael Krohn-Dehli,79,LM,Normal,8.9K,3,4,M \ M,67,75,82,77,64,66,"170cm | 5'7""",1,431,2097,76,78,54,LM,66,86,76
1877,David Abraham,79,CB,Normal,1.1K,2,2,M \ M,80,56,61,54,79,77,"188cm | 6'2""",10,407,1914,61,54,78,CB,83,49,46
1878,Ştefan Radu,79,LB,Normal,700,2,3,M \ H,72,64,65,68,84,74,"183cm | 6'0""",3,427,1996,70,67,85,LB,72,60,55
1879,Salvatore Sirigu,79,GK,Normal,1K,1,2,M \ M,79,76,73,80,50,77,"192cm | 6'4""",2,435,861,52,55,16,GK,51,46,10
1880,Giovani dos Santos,79,CF,Normal,700,4,4,H \ L,86,78,73,81,29,53,"175cm | 5'9""",6,400,1955,88,90,21,CF,86,70,78
1881,Nuri Şahin,79,CDM,Normal,750,3,3,M \ M,54,67,83,80,72,68,"180cm | 5'11""",-1,424,2110,76,74,65,CDM,50,82,61
1882,Victor Moses,79,RWB,Normal,1K,4,4,M \ M,83,71,72,82,69,74,"177cm | 5'10""",15,451,2117,80,83,66,RWB,83,71,70
1883,Cristian Ansaldi,79,LB,Normal,850,3,5,H \ M,80,59,75,79,76,76,"181cm | 5'11""",2,445,2080,79,66,78,LB,83,73,57
1884,Zlatko Junuzović,79,CM,Normal,1.9K,3,4,H \ H,78,74,80,81,67,74,"172cm | 5'8""",9,454,2216,86,91,68,CM,78,75,68
1885,Winston Reid,79,CB,Normal,700,2,3,M \ H,69,52,49,52,80,80,"190cm | 6'3""",3,382,1765,57,43,78,CB,71,44,46
1886,Pontus Wernbloom,79,CDM,Normal,700,2,2,M \ H,56,67,67,67,80,85,"187cm | 6'2""",4,422,1985,53,55,77,CDM,58,69,60
1887,Marouane Fellaini,79,CDM,Normal,900,3,3,M \ M,50,71,70,73,75,89,"194cm | 6'4""",13,428,2041,49,52,71,CDM,50,72,71
1888,Fabian Johnson,79,LM,Normal,850,3,4,M \ M,87,67,76,78,70,70,"183cm | 6'0""",7,448,2089,76,74,70,LM,89,74,70
1889,Antunes,79,LB,Normal,850,2,3,H \ M,80,69,74,75,76,74,"175cm | 5'9""",2,448,2159,78,76,74,LB,82,66,56
1890,Marcelo,79,CB,Normal,1.2K,2,2,M \ M,66,48,55,62,79,82,"191cm | 6'3""",4,392,1787,49,47,78,CB,70,43,44
1891,Sandro Wagner,79,ST,Normal,9.8K,2,4,M \ M,60,80,50,67,30,83,"194cm | 6'4""",2,370,1754,53,50,15,ST,65,47,83
1892,Kyriakos Papadopoulos,79,CB,Normal,700,2,3,L \ H,62,42,49,49,78,83,"185cm | 6'1""",4,363,1753,53,60,79,CB,63,44,24
1893,Sofiane Feghouli,79,RW,Normal,700,4,3,H \ M,86,71,72,82,32,61,"177cm | 5'10""",6,404,1916,86,76,25,RW,88,75,68
1894,Mariano,79,RB,Normal,800,3,3,M \ M,82,64,74,75,73,75,"177cm | 5'10""",5,443,2111,74,73,69,RB,79,64,54
1895,Aleksandar Kolarov,79,LB,Normal,2K,2,3,H \ M,66,69,78,75,78,78,"187cm | 6'2""",0,444,2197,63,58,74,LB,67,76,55
1896,Marco Fabián,79,CAM,Normal,700,4,4,H \ M,72,78,77,81,36,68,"168cm | 5'6""",6,412,2033,88,86,20,CAM,69,77,77
1897,Christian Noboa,79,CM,Normal,10K,2,3,H \ H,73,71,76,77,76,76,"183cm | 6'0""",2,449,2179,77,66,77,CM,73,75,65
1898,Artem Dzyuba,79,ST,Normal,9.7K,3,3,H \ M,71,75,67,69,29,85,"196cm | 6'5""",6,396,1849,50,32,25,ST,73,76,77
1899,Seydou Doumbia,79,ST,Normal,750,4,4,M \ L,91,77,67,77,39,73,"179cm | 5'10""",44,424,2022,70,70,34,ST,91,74,77
1900,Rafael,79,RB,Normal,800,3,3,H \ M,81,59,72,78,75,78,"172cm | 5'8""",5,443,2115,77,83,76,RB,78,63,49
1901,Wilfried Bony,79,ST,Normal,700,3,4,M \ L,66,80,59,73,39,81,"182cm | 6'0""",12,398,1916,67,71,25,ST,68,65,80
1902,Eliaquim Mangala,79,CB,Normal,750,2,4,M \ H,70,42,55,52,79,85,"187cm | 6'2""",1,383,1824,65,61,78,CB,73,47,27
1903,Adem Ljajić,79,LW,Normal,850,4,4,H \ M,80,74,76,84,32,62,"182cm | 6'0""",5,408,1970,81,79,23,LW,79,78,72
1904,Juraj Kucka,79,CM,Normal,700,2,3,M \ H,69,73,74,76,77,89,"186cm | 6'1""",2,458,2202,75,54,72,CM,69,74,65
1905,Sébastien Corchia,79,RB,Normal,1.4K,3,3,H \ M,77,65,75,76,77,72,"175cm | 5'9""",1,442,2138,76,78,78,RB,77,70,58
1906,Jaume Costa,79,LB,Normal,850,3,3,H \ H,83,59,71,74,76,72,"171cm | 5'7""",8,435,2046,80,80,76,LB,84,57,53
1907,Hernán Pérez,79,RM,Normal,700,3,4,H \ M,82,74,73,80,29,72,"180cm | 5'11""",4,410,1931,76,68,21,RM,81,72,70
1908,Jeffrey Bruma,79,CB,Normal,700,2,3,M \ M,65,53,63,60,78,82,"190cm | 6'3""",2,401,1864,52,45,76,CB,68,61,38
1909,Patrick Herrmann,79,RM,Normal,700,3,3,M \ M,87,75,74,81,35,59,"179cm | 5'10""",0,411,1983,85,81,27,RM,87,76,75
1910,Manolo Gabbiadini,79,ST,Normal,700,3,3,H \ L,74,81,71,78,25,70,"186cm | 6'1""",3,399,1920,73,56,18,ST,74,72,82
1911,Oriol Romeu,79,CDM,Normal,700,2,3,M \ H,57,38,65,63,78,85,"183cm | 6'0""",1,386,1832,60,58,73,CDM,52,70,25
1912,Nicolai Jørgensen,79,ST,Normal,750,3,3,H \ M,77,78,71,77,36,77,"190cm | 6'3""",4,416,1970,65,64,33,ST,78,76,79
1913,Lucas Digne,79,LB,Normal,2.3K,3,3,H \ M,80,61,75,75,75,75,"178cm | 5'10""",11,441,2077,71,80,74,LB,81,72,52
1914,Yevhen Konoplyanka,79,LW,Normal,800,4,4,M \ M,86,76,76,81,30,58,"178cm | 5'10""",12,407,1956,81,78,21,LW,86,73,76
1915,Djibril Sidibé,79,RB,Normal,1.3K,2,4,H \ H,80,67,74,75,76,79,"182cm | 6'0""",16,451,2107,68,67,75,RB,82,69,70
1916,Lorenzo Tonelli,79,CB,Normal,750,2,3,L \ H,74,31,44,60,82,75,"183cm | 6'0""",2,366,1698,72,79,84,CB,75,30,25
1917,Cédric,79,RB,Normal,700,2,4,H \ M,82,67,72,76,76,72,"172cm | 5'8""",5,445,2127,76,83,76,RB,80,65,57
1918,Jeison Murillo,79,CB,Normal,800,2,2,M \ H,75,40,56,64,80,77,"182cm | 6'0""",4,392,1833,78,69,80,CB,76,54,37
1919,Faouzi Ghoulam,79,LB,Normal,1.6K,2,4,H \ M,80,64,71,73,76,78,"188cm | 6'2""",0,442,2091,68,62,74,LB,84,58,54
1920,Paul-Georges Ntep,79,LM,Normal,6.2K,4,4,H \ M,89,74,73,82,26,72,"180cm | 5'11""",2,416,1933,85,75,22,LM,90,71,72
1921,Nicola Sansone,79,ST,Normal,700,3,3,M \ M,83,80,73,82,35,67,"175cm | 5'9""",0,420,2014,87,87,15,ST,82,79,80
1922,Salif Sané,79,CB,Normal,3K,3,3,M \ H,65,48,62,66,78,81,"196cm | 6'5""",4,400,1827,60,37,72,CB,68,61,36
1923,John Stones,79,CB,Normal,1.4K,2,4,H \ M,71,35,67,71,80,77,"188cm | 6'2""",6,401,1835,64,57,80,CB,71,59,29
1924,Šime Vrsaljko,79,RB,Normal,2.1K,2,3,H \ M,81,55,72,72,77,77,"183cm | 6'0""",2,434,2051,67,72,77,RB,81,68,44
1925,Kurt Zouma,79,CB,Normal,1K,2,3,M \ M,67,50,58,56,79,83,"190cm | 6'3""",3,393,1873,45,52,78,CB,71,57,47
1926,Bernat,79,LB,Normal,950,3,3,H \ M,78,60,74,83,76,66,"170cm | 5'7""",-1,437,2083,86,88,78,LB,74,70,57
1927,Arkadiusz Milik,79,ST,Normal,850,2,3,M \ M,73,83,62,72,37,71,"186cm | 6'1""",13,398,1922,68,63,29,ST,75,60,86
1928,Bernard,79,CAM,Normal,850,4,4,H \ M,88,70,75,83,40,44,"164cm | 5'5""",9,400,1937,92,96,39,CAM,84,77,71
1929,Edin Višća,79,RM,Normal,800,3,4,M \ M,89,79,71,82,37,58,"172cm | 5'8""",5,416,1990,92,88,28,RM,89,69,80
1930,Luke Shaw,79,LB,Normal,900,2,2,H \ M,82,51,71,77,76,76,"185cm | 6'1""",8,433,2037,78,75,74,LB,84,65,44
1931,Serge Gnabry,79,LM,Normal,1.1K,4,3,H \ M,90,76,71,82,43,67,"175cm | 5'9""",8,429,1995,79,88,41,LM,88,68,74
1932,Denis Cheryshev,79,LM,Normal,1.7K,3,3,H \ L,80,74,75,79,56,70,"179cm | 5'10""",26,434,2051,76,74,52,LM,82,79,74
1933,Alassane Pléa,79,ST,Normal,1.4K,3,3,H \ M,81,80,75,76,41,75,"181cm | 5'11""",5,428,2033,77,78,40,ST,82,76,80
1934,Maximilian Arnold,79,CM,Normal,750,3,3,H \ M,67,80,74,77,66,69,"184cm | 6'0""",0,433,2070,73,69,60,CM,67,76,77
1935,Luciano Vietto,79,ST,Normal,1K,4,3,H \ L,75,78,72,84,36,62,"173cm | 5'8""",-2,407,1994,78,88,23,ST,75,73,82
1936,Hakan Çalhanoğlu,79,LM,Normal,700,3,4,M \ M,69,80,81,78,41,56,"178cm | 5'10""",4,405,2010,76,76,32,LM,67,77,74
